timestamp,hour,day_of_week,is_raining,rain_intensity,temperature,wind_speed,visibility,revenue_per_min,trip_duration,wait_time,utilization_rate,daily_earnings,positioning_efficiency,ai_prediction_lead_time,ai_confidence_score,prediction_accuracy,operation_type
2024-06-05 00:49:00,0,2,True,0.83,28.9,8.8,4.8,103.58,31.8,5.2,81.0,50329,0.85,124.9,0.9,0.87,ai_enhanced
2024-06-12 01:47:00,1,2,False,0.0,18.2,3.0,8.1,51.31,28.5,4.5,83.8,25783,0.93,69.2,0.94,0.92,ai_enhanced
2024-06-21 04:56:00,4,4,False,0.0,13.3,2.1,13.9,51.06,28.5,4.1,83.4,25537,0.93,83.7,0.83,0.92,ai_enhanced
2024-06-23 21:21:00,21,6,False,0.0,14.3,1.6,15.3,66.07,28.5,4.5,79.9,31668,0.89,174.4,0.88,0.92,ai_enhanced
2024-06-25 19:06:00,19,1,False,0.0,24.3,19.9,13.3,77.39,28.5,4.3,79.0,36662,0.88,123.9,0.91,0.92,ai_enhanced
2024-06-07 16:16:00,16,4,False,0.0,31.8,7.5,20.0,47.81,28.5,4.0,78.0,22387,0.87,124.8,0.91,0.92,ai_enhanced
2024-06-23 09:04:00,9,6,False,0.0,23.9,0.4,17.5,109.66,28.5,4.2,82.9,54526,0.92,175.3,0.95,0.92,ai_enhanced
2024-06-26 22:23:00,22,2,False,0.0,29.6,1.8,15.0,51.98,28.5,4.6,84.8,26462,0.95,131.3,0.75,0.92,ai_enhanced
2024-06-29 03:17:00,3,5,True,2.53,19.8,17.4,2.1,222.77,32.8,5.6,88.5,118268,0.89,90.6,0.87,0.87,ai_enhanced
2024-06-27 17:51:00,17,3,True,1.19,17.7,0.1,9.9,273.67,32.0,5.3,91.7,150599,0.93,93.9,0.76,0.87,ai_enhanced
2024-06-08 13:26:00,13,5,False,0.0,11.2,9.5,20.0,63.97,28.5,4.3,77.3,29684,0.86,118.2,0.79,0.92,ai_enhanced
2024-06-26 23:40:00,23,2,False,0.0,20.4,6.9,20.0,49.85,28.5,4.6,81.4,24342,0.91,110.3,0.91,0.92,ai_enhanced
2024-06-05 06:16:00,6,2,False,0.0,19.2,5.9,12.6,51.23,28.5,4.2,83.6,25705,0.93,92.1,0.87,0.92,ai_enhanced
2024-06-05 05:01:00,5,2,False,0.0,5.3,1.9,15.5,51.28,28.5,4.1,83.7,25754,0.93,71.4,0.92,0.92,ai_enhanced
2024-06-01 08:26:00,8,5,False,0.0,30.2,10.3,11.3,103.52,28.5,4.4,78.2,48589,0.87,125.1,0.83,0.92,ai_enhanced
2024-06-22 09:37:00,9,5,False,0.0,10.2,5.6,19.2,105.43,28.5,4.1,79.7,50400,0.89,89.0,0.76,0.92,ai_enhanced
2024-06-27 21:02:00,21,3,False,0.0,21.5,9.9,12.1,50.36,28.5,4.6,82.2,24840,0.92,135.1,0.88,0.92,ai_enhanced
2024-06-18 01:27:00,1,1,False,0.0,21.9,11.2,12.1,49.87,28.5,4.5,81.4,24360,0.91,146.8,0.76,0.92,ai_enhanced
2024-06-02 21:48:00,21,6,False,0.0,27.7,2.7,4.5,66.83,28.5,4.2,80.8,32398,0.9,77.6,0.75,0.92,ai_enhanced
2024-06-25 08:04:00,8,1,False,0.0,13.8,1.5,20.0,77.56,28.5,4.1,79.1,36819,0.88,65.5,0.85,0.92,ai_enhanced
2024-06-07 13:09:00,13,4,False,0.0,13.9,2.1,15.0,50.5,28.5,4.5,82.4,24973,0.92,132.7,0.76,0.92,ai_enhanced
2024-06-18 08:34:00,8,1,False,0.0,43.3,2.2,20.0,128.88,28.5,4.0,86.8,67108,0.94,167.2,0.94,0.92,ai_enhanced
2024-06-24 06:08:00,6,0,True,4.48,9.7,2.5,7.5,173.38,33.9,6.0,93.0,96716,0.94,65.3,0.86,0.87,ai_enhanced
2024-06-10 13:49:00,13,0,False,0.0,30.9,9.0,20.0,47.34,28.5,4.0,77.3,21947,0.86,163.7,0.9,0.92,ai_enhanced
2024-06-11 12:19:00,12,1,False,0.0,38.1,3.1,9.8,74.23,28.5,4.3,80.0,35615,0.87,63.9,0.86,0.92,ai_enhanced
2024-06-02 20:43:00,20,6,False,0.0,16.4,0.6,7.5,64.49,28.5,3.8,78.0,30172,0.87,113.3,0.91,0.92,ai_enhanced
2024-06-11 04:08:00,4,1,False,0.0,20.6,2.4,18.2,47.78,28.5,3.9,78.0,22356,0.87,132.7,0.75,0.92,ai_enhanced
2024-06-16 02:36:00,2,6,False,0.0,18.7,8.4,7.5,66.27,28.5,4.6,80.1,31857,0.89,93.9,0.77,0.92,ai_enhanced
2024-06-11 13:20:00,13,1,True,1.17,3.3,0.2,2.4,281.23,32.0,5.3,95.0,160304,0.91,165.4,0.76,0.87,ai_enhanced
2024-06-25 03:45:00,3,1,False,0.0,27.2,2.3,15.3,47.98,28.5,4.6,78.3,22548,0.87,96.8,0.88,0.92,ai_enhanced
2024-06-28 07:37:00,7,4,True,0.16,33.2,31.0,5.9,166.97,31.5,5.1,81.6,81746,0.86,129.8,0.82,0.87,ai_enhanced
2024-06-07 05:14:00,5,4,True,0.68,13.6,2.5,8.4,113.95,31.7,5.2,89.1,60912,0.94,111.7,0.77,0.87,ai_enhanced
2024-06-03 01:04:00,1,0,False,0.0,21.7,7.6,8.7,46.97,28.5,4.0,76.7,21611,0.86,82.7,0.93,0.92,ai_enhanced
2024-06-12 14:26:00,14,2,False,0.0,11.6,19.2,19.3,50.81,28.5,4.3,82.9,25280,0.93,114.8,0.94,0.92,ai_enhanced
2024-06-22 17:04:00,17,5,False,0.0,31.2,2.4,17.2,101.77,28.5,3.9,76.9,46959,0.86,62.1,0.78,0.92,ai_enhanced
2024-06-09 18:17:00,18,6,False,0.0,10.3,0.0,18.4,107.7,28.5,3.9,81.4,52597,0.91,67.5,0.82,0.92,ai_enhanced
2024-06-19 17:44:00,17,2,False,0.0,33.7,3.8,13.1,80.7,28.5,4.6,82.3,39868,0.92,69.8,0.93,0.92,ai_enhanced
2024-06-08 01:12:00,1,5,True,2.53,24.2,9.4,7.4,216.12,32.8,5.6,85.8,111312,0.87,105.0,0.78,0.87,ai_enhanced
2024-06-01 09:12:00,9,5,False,0.0,24.6,19.5,20.0,110.93,28.5,3.9,83.8,55800,0.94,169.9,0.82,0.92,ai_enhanced
2024-06-11 14:10:00,14,1,False,0.0,20.7,3.2,19.7,50.88,28.5,4.4,83.0,25352,0.93,124.2,0.85,0.92,ai_enhanced
2024-06-17 22:51:00,22,0,False,0.0,30.2,10.1,8.1,48.43,28.5,4.6,79.1,22975,0.88,167.2,0.95,0.92,ai_enhanced
2024-06-24 14:50:00,14,0,False,0.0,12.3,5.2,12.8,47.64,28.5,4.6,77.8,22233,0.87,92.1,0.78,0.92,ai_enhanced
2024-06-13 16:50:00,16,3,False,0.0,26.8,13.5,15.1,52.03,28.5,4.5,84.9,26513,0.95,116.9,0.87,0.92,ai_enhanced
2024-06-02 01:45:00,1,6,True,9.69,8.7,1.0,7.0,337.81,36.9,7.1,95.0,192554,0.92,157.0,0.79,0.87,ai_enhanced
2024-06-14 21:18:00,21,4,False,0.0,32.7,0.8,20.0,52.1,28.5,4.4,85.0,26586,0.95,160.4,0.9,0.92,ai_enhanced
2024-06-20 01:00:00,1,3,False,0.0,26.2,0.2,18.1,49.61,28.5,4.6,81.0,24101,0.9,100.2,0.89,0.92,ai_enhanced
2024-06-07 19:17:00,19,4,False,0.0,29.0,3.9,19.7,78.87,28.5,3.8,80.5,38076,0.9,69.1,0.87,0.92,ai_enhanced
2024-06-04 03:40:00,3,1,False,0.0,15.9,10.1,6.9,46.93,28.5,4.5,76.6,21575,0.85,175.4,0.93,0.92,ai_enhanced
2024-06-20 20:24:00,20,3,False,0.0,9.9,36.8,13.5,50.51,28.5,4.5,82.4,24982,0.92,70.2,0.86,0.92,ai_enhanced
2024-06-26 12:56:00,12,2,False,0.0,17.9,1.2,17.9,49.63,28.5,3.9,81.0,24123,0.9,132.6,0.87,0.92,ai_enhanced
2024-06-08 12:14:00,12,5,True,0.4,30.1,5.7,6.5,141.57,31.6,5.1,82.0,69645,0.86,115.8,0.93,0.87,ai_enhanced
2024-06-01 22:42:00,22,5,False,0.0,14.7,1.4,13.3,66.27,28.5,4.0,80.1,31863,0.89,154.0,0.81,0.92,ai_enhanced
2024-06-19 20:02:00,20,2,False,0.0,43.1,0.3,11.9,81.31,28.5,4.0,87.6,42738,0.95,178.2,0.89,0.92,ai_enhanced
2024-06-01 20:17:00,20,5,True,6.31,34.4,18.6,6.0,342.46,35.0,6.4,95.0,195205,0.93,89.0,0.79,0.87,ai_enhanced
2024-06-03 17:22:00,17,0,False,0.0,37.1,11.6,15.2,117.13,28.5,4.1,78.9,55430,0.85,145.0,0.89,0.92,ai_enhanced
2024-06-03 03:25:00,3,0,False,0.0,24.5,45.9,9.6,48.62,28.5,4.1,79.4,23152,0.89,171.1,0.93,0.92,ai_enhanced
2024-06-10 20:21:00,20,0,False,0.0,30.0,9.4,14.7,47.23,28.5,4.2,77.1,21851,0.86,71.6,0.92,0.92,ai_enhanced
2024-06-05 00:33:00,0,2,False,0.0,24.9,5.5,13.0,49.58,28.5,3.9,80.9,24076,0.9,69.5,0.9,0.92,ai_enhanced
2024-06-08 03:14:00,3,5,False,0.0,19.6,8.9,16.4,65.06,28.5,4.1,78.7,30713,0.88,62.2,0.77,0.92,ai_enhanced
2024-06-30 20:16:00,20,6,False,0.0,23.4,0.1,20.0,67.29,28.5,4.3,81.4,32853,0.91,127.1,0.8,0.92,ai_enhanced
