timestamp,pickup_district,dropoff_district,trip_duration_minutes,distance_km,fare_yen,wait_time_minutes,demand_multiplier,weather_influence,hour,day_of_week,is_rush_hour,is_weekend
2024-06-11 19:00:00,Ginza,Shibuya,13.2,5.4,741,0.7,2.5,1.0,19,1,True,False
2024-06-18 05:00:00,Ikebukuro,Akihabara,13.6,7.14,867,7.2,1.3,1.0,5,1,False,False
2024-06-24 21:00:00,Ikebukuro,Shibuya,12.2,3.1,1194,0.4,2.08,2.08,21,0,False,False
2024-06-12 05:00:00,Akihabara,Ebisu,9.0,11.94,1207,0.4,1.3,1.0,5,2,False,False
2024-06-10 00:00:00,Marunouchi,Marunouchi,6.9,6.33,800,2.6,1.3,1.0,0,0,False,False
2024-06-02 06:00:00,Asakusa,Odaiba,7.3,2.55,528,1.8,1.8,1.0,6,6,False,True
2024-06-13 20:00:00,Akasaka,Ueno,24.7,4.05,657,0.8,2.5,1.0,20,3,True,False
2024-06-15 05:00:00,Asakusa,Ueno,18.8,10.04,1082,7.7,2.34,1.0,5,5,False,True
2024-06-10 14:00:00,Ikebukuro,Meguro,9.9,2.85,829,0.2,1.5,1.5,14,0,False,False
2024-06-11 00:00:00,Meguro,Ginza,29.3,9.05,2251,3.1,2.86,2.2,0,1,False,False
2024-06-22 08:00:00,Tokyo Station,Ikebukuro,109.3,3.68,2416,8.4,14.85,3.3,8,5,True,True
2024-06-02 20:00:00,Meguro,Asakusa,95.3,14.99,3181,25.0,9.36,2.08,20,6,True,True
2024-06-20 08:00:00,Ginza,Ueno,5.0,5.9,1227,15.2,4.0,1.6,8,3,True,False
2024-06-19 20:00:00,Shibuya,Asakusa,18.4,0.5,867,1.6,5.5,2.2,20,2,True,False
2024-06-10 22:00:00,Shibuya,Ikebukuro,11.1,4.05,641,3.3,1.3,1.0,22,0,False,False
2024-06-07 15:00:00,Harajuku,Asakusa,10.3,7.66,1170,8.7,1.3,1.3,15,4,False,False
2024-06-26 17:00:00,Ginza,Ebisu,51.4,15.88,3390,3.4,5.5,2.2,17,2,True,False
2024-06-15 09:00:00,Meguro,Shinjuku,97.8,13.92,3027,1.1,9.36,2.08,9,5,True,True
2024-06-04 16:00:00,Akasaka,Meguro,39.7,10.97,3356,3.0,2.86,2.86,16,1,False,False
2024-06-29 19:00:00,Meguro,Marunouchi,35.8,10.85,1160,2.5,4.5,1.0,19,5,True,True
2024-06-11 16:00:00,Akasaka,Tokyo Station,14.7,6.85,2795,14.0,3.3,3.3,16,1,False,False
2024-06-01 10:00:00,Marunouchi,Tokyo Station,30.4,7.86,1952,8.9,3.74,2.08,10,5,False,True
2024-06-24 06:00:00,Ebisu,Ginza,10.9,0.5,501,5.4,1.3,1.3,6,0,False,False
2024-06-28 16:00:00,Odaiba,Marunouchi,7.4,3.48,595,0.7,1.0,1.0,16,4,False,False
2024-06-15 11:00:00,Ebisu,Shinjuku,20.2,6.97,862,0.1,1.8,1.0,11,5,False,True
2024-06-29 10:00:00,Shinjuku,Odaiba,31.1,7.92,1415,5.6,2.7,1.5,10,5,False,True
2024-06-19 20:00:00,Ebisu,Meguro,58.6,11.1,2653,9.2,5.5,2.2,20,2,True,False
2024-06-15 16:00:00,Shinjuku,Harajuku,15.4,13.23,1699,3.9,2.34,1.3,16,5,False,True
2024-06-11 20:00:00,Odaiba,Shinjuku,17.0,1.08,434,0.2,2.5,1.0,20,1,True,False
2024-06-14 05:00:00,Odaiba,Roppongi,10.1,6.86,842,1.9,1.3,1.0,5,4,False,False
2024-06-19 06:00:00,Roppongi,Odaiba,14.9,13.5,2757,3.1,2.08,2.08,6,2,False,False
2024-06-03 01:00:00,Shinjuku,Ginza,6.2,6.02,777,0.1,1.3,1.0,1,0,False,False
2024-06-03 15:00:00,Odaiba,Marunouchi,12.0,8.27,2270,1.4,2.4,2.4,15,0,False,False
2024-06-22 13:00:00,Shinjuku,Akasaka,25.8,9.36,1561,2.3,2.7,1.5,13,5,False,True
2024-06-23 01:00:00,Roppongi,Roppongi,13.3,5.1,719,3.3,2.34,1.0,1,6,False,True
2024-06-13 16:00:00,Marunouchi,Roppongi,11.9,8.83,1479,5.2,1.5,1.5,16,3,False,False
2024-06-20 15:00:00,Roppongi,Ikebukuro,26.0,0.5,1331,20.7,3.3,3.3,15,3,False,False
2024-06-14 17:00:00,Odaiba,Shinjuku,39.7,7.93,1432,0.3,3.75,1.5,17,4,True,False
2024-06-25 19:00:00,Akasaka,Harajuku,28.2,20.92,1876,1.0,2.5,1.0,19,1,True,False
2024-06-22 12:00:00,Odaiba,Odaiba,17.9,5.76,1853,19.3,4.32,2.4,12,5,False,True
2024-06-21 17:00:00,Odaiba,Meguro,38.3,7.47,1380,7.3,3.75,1.5,17,4,True,False
2024-06-11 08:00:00,Ikebukuro,Odaiba,18.3,13.84,1355,3.3,2.5,1.0,8,1,True,False
2024-06-07 09:00:00,Ueno,Odaiba,18.8,6.77,1100,0.6,3.25,1.3,9,4,True,False
2024-06-01 21:00:00,Shibuya,Harajuku,18.1,8.24,1427,19.0,2.7,1.5,21,5,False,True
2024-06-03 15:00:00,Ebisu,Ginza,18.8,11.19,2795,0.8,2.4,2.4,15,0,False,False
2024-06-04 15:00:00,Akasaka,Ginza,37.5,5.14,2148,1.0,2.86,2.86,15,1,False,False
2024-06-10 13:00:00,Ebisu,Akihabara,8.1,12.54,1623,0.0,1.3,1.3,13,0,False,False
2024-06-06 23:00:00,Harajuku,Ebisu,10.4,0.83,653,0.0,2.08,1.6,23,3,False,False
2024-06-29 11:00:00,Akasaka,Ueno,20.9,12.24,1863,0.4,2.7,1.5,11,5,False,True
2024-06-13 09:00:00,Ginza,Akihabara,395.2,5.77,4595,33.9,16.02,6.41,9,3,True,False
2024-06-29 21:00:00,Roppongi,Asakusa,17.7,5.09,724,0.3,1.8,1.0,21,5,False,True
2024-06-20 04:00:00,Harajuku,Marunouchi,7.1,5.27,724,0.5,1.3,1.0,4,3,False,False
2024-06-26 02:00:00,Tokyo Station,Ebisu,5.0,13.08,1284,0.8,1.3,1.0,2,2,False,False
2024-06-08 22:00:00,Akihabara,Shinjuku,21.7,9.21,1025,0.6,2.34,1.0,22,5,False,True
2024-06-15 12:00:00,Akasaka,Asakusa,14.8,8.09,1217,2.2,2.34,1.3,12,5,False,True
2024-06-20 15:00:00,Ueno,Ueno,16.2,8.31,3149,2.4,3.3,3.3,15,3,False,False
2024-06-28 18:00:00,Odaiba,Odaiba,25.3,7.4,899,2.4,2.5,1.0,18,4,True,False
2024-06-11 05:00:00,Ebisu,Odaiba,12.7,3.21,582,0.2,1.3,1.0,5,1,False,False
2024-06-30 13:00:00,Meguro,Shinjuku,20.2,12.29,1245,2.8,1.8,1.0,13,6,False,True
2024-06-22 10:00:00,Shinjuku,Ueno,43.3,11.14,3928,0.5,5.94,3.3,10,5,False,True
2024-06-07 00:00:00,Ebisu,Asakusa,10.9,4.44,669,0.5,1.3,1.0,0,4,False,False
2024-06-08 08:00:00,Ebisu,Ginza,41.3,1.92,524,3.2,4.5,1.0,8,5,True,True
2024-06-17 14:00:00,Shinjuku,Ikebukuro,10.8,9.27,1016,1.9,1.0,1.0,14,0,False,False
2024-06-14 22:00:00,Shinjuku,Asakusa,15.6,9.95,1393,3.6,1.69,1.3,22,4,False,False
2024-06-26 03:00:00,Shinjuku,Meguro,11.1,10.05,2361,9.4,2.86,2.2,3,2,False,False
2024-06-16 01:00:00,Akihabara,Odaiba,49.2,7.22,1464,5.4,3.74,1.6,1,6,False,True
2024-06-22 22:00:00,Akasaka,Ginza,14.5,8.22,1512,0.8,3.74,1.6,22,5,False,True
2024-06-20 05:00:00,Tokyo Station,Akihabara,5.7,7.85,908,8.8,1.3,1.0,5,3,False,False
2024-06-21 08:00:00,Asakusa,Ikebukuro,32.1,4.47,1114,0.1,4.0,1.6,8,4,True,False
2024-06-10 00:00:00,Tokyo Station,Tokyo Station,10.1,8.92,990,3.8,1.3,1.0,0,0,False,False
2024-06-10 19:00:00,Ebisu,Meguro,24.1,5.35,975,1.5,3.25,1.3,19,0,True,False
2024-06-24 00:00:00,Shinjuku,Shibuya,30.5,11.16,3882,7.6,4.29,3.3,0,0,False,False
2024-06-28 03:00:00,Marunouchi,Ikebukuro,5.2,7.03,848,9.7,1.3,1.0,3,4,False,False
2024-06-03 16:00:00,Marunouchi,Akasaka,10.9,9.05,1001,5.0,1.0,1.0,16,0,False,False
2024-06-09 18:00:00,Asakusa,Ikebukuro,40.5,6.46,850,2.3,4.5,1.0,18,6,True,True
2024-06-01 12:00:00,Shinjuku,Roppongi,12.4,4.25,657,2.3,1.8,1.0,12,5,False,True
2024-06-12 23:00:00,Ebisu,Marunouchi,27.0,9.62,2334,2.3,2.86,2.2,23,2,False,False
2024-06-04 11:00:00,Shinjuku,Shinjuku,11.3,12.45,1619,6.7,1.3,1.3,11,1,False,False
2024-06-23 18:00:00,Akihabara,Odaiba,44.5,6.83,881,5.8,4.5,1.0,18,6,True,True
2024-06-13 19:00:00,Shibuya,Harajuku,86.5,2.74,1963,2.1,7.7,3.08,19,3,True,False
2024-06-23 19:00:00,Roppongi,Akihabara,31.3,5.52,771,2.1,4.5,1.0,19,6,True,True
2024-06-13 13:00:00,Ikebukuro,Ueno,17.1,3.04,863,7.5,1.5,1.5,13,3,False,False
2024-06-24 10:00:00,Harajuku,Ginza,13.5,14.13,2055,2.3,1.5,1.5,10,0,False,False
2024-06-10 12:00:00,Odaiba,Shibuya,18.3,9.3,1644,16.1,1.6,1.6,12,0,False,False
2024-06-17 08:00:00,Akasaka,Odaiba,5.4,7.04,1104,1.2,3.25,1.3,8,0,True,False
2024-06-29 14:00:00,Marunouchi,Ebisu,12.6,8.6,971,2.4,1.8,1.0,14,5,False,True
2024-06-23 15:00:00,Odaiba,Ebisu,29.7,9.11,2993,1.3,5.24,2.91,15,6,False,True
2024-06-22 06:00:00,Ginza,Roppongi,11.9,14.12,2051,5.8,2.7,1.5,6,5,False,True
2024-06-30 01:00:00,Odaiba,Odaiba,27.0,2.11,520,4.7,2.34,1.0,1,6,False,True
2024-06-28 18:00:00,Marunouchi,Akasaka,24.9,11.58,1200,0.4,2.5,1.0,18,4,True,False
2024-06-14 18:00:00,Odaiba,Tokyo Station,23.0,11.74,2901,11.1,6.0,2.4,18,4,True,False
2024-06-05 21:00:00,Roppongi,Shinjuku,5.0,12.78,1262,2.8,1.0,1.0,21,2,False,False
2024-06-21 22:00:00,Tokyo Station,Akasaka,10.3,11.42,1171,4.5,1.3,1.0,22,4,False,False
2024-06-29 21:00:00,Akasaka,Meguro,13.2,14.44,1391,0.9,1.8,1.0,21,5,False,True
2024-06-28 17:00:00,Ikebukuro,Tokyo Station,16.1,9.47,1037,7.0,2.5,1.0,17,4,True,False
2024-06-21 20:00:00,Shibuya,Harajuku,69.9,11.91,2810,12.3,5.5,2.2,20,4,True,False
2024-06-21 15:00:00,Meguro,Shinjuku,5.0,11.08,1824,28.3,1.6,1.6,15,4,False,False
2024-06-16 20:00:00,Shibuya,Ginza,5.0,10.92,1128,4.1,4.5,1.0,20,6,True,True
2024-06-27 00:00:00,Ebisu,Tokyo Station,11.7,8.7,1464,1.5,1.95,1.5,0,3,False,False
2024-06-23 19:00:00,Meguro,Ueno,34.2,9.06,1029,3.2,4.5,1.0,19,6,True,True
2024-06-02 00:00:00,Akihabara,Tokyo Station,43.4,5.98,1802,0.9,5.15,2.2,0,6,False,True
2024-06-27 01:00:00,Harajuku,Shinjuku,6.0,1.29,436,0.8,1.3,1.0,1,3,False,False
2024-06-07 10:00:00,Ebisu,Marunouchi,8.8,11.37,1165,0.2,1.0,1.0,10,4,False,False
2024-06-05 04:00:00,Akihabara,Ebisu,10.0,8.04,927,3.6,1.3,1.0,4,2,False,False
2024-06-03 15:00:00,Akasaka,Tokyo Station,26.8,9.28,2487,0.6,2.4,2.4,15,0,False,False
2024-06-24 09:00:00,Ginza,Akasaka,19.6,8.19,949,0.9,2.5,1.0,9,0,True,False
2024-06-03 03:00:00,Ebisu,Ginza,30.4,3.2,1326,1.5,2.86,2.2,3,0,False,False
2024-06-18 13:00:00,Meguro,Harajuku,30.9,6.97,1960,3.1,2.24,2.24,13,1,False,False
2024-06-17 22:00:00,Roppongi,Odaiba,21.6,17.62,3653,18.6,2.91,2.24,22,0,False,False
2024-06-03 00:00:00,Ebisu,Shinjuku,6.3,12.93,1274,4.0,1.3,1.0,0,0,False,False
2024-06-08 09:00:00,Shibuya,Ueno,35.5,4.95,735,0.6,4.5,1.0,9,5,True,True
2024-06-29 09:00:00,Akihabara,Roppongi,9.3,3.7,614,4.8,4.5,1.0,9,5,True,True
2024-06-27 07:00:00,Shibuya,Akasaka,18.8,5.39,747,0.2,2.5,1.0,7,3,True,False
2024-06-05 23:00:00,Tokyo Station,Asakusa,8.1,9.47,1336,2.6,1.69,1.3,23,2,False,False
2024-06-16 02:00:00,Asakusa,Ueno,92.1,7.72,2085,2.0,4.87,2.08,2,6,False,True
2024-06-21 03:00:00,Meguro,Asakusa,7.8,7.02,851,1.2,1.3,1.0,3,4,False,False
2024-06-08 16:00:00,Roppongi,Marunouchi,14.4,5.13,723,5.0,1.8,1.0,16,5,False,True
2024-06-09 06:00:00,Akasaka,Asakusa,22.1,12.32,1624,1.6,2.34,1.3,6,6,False,True
2024-06-25 00:00:00,Harajuku,Akihabara,7.3,8.26,939,7.8,1.3,1.0,0,1,False,False
2024-06-28 23:00:00,Akihabara,Asakusa,12.0,8.44,1992,0.0,2.7,2.08,23,4,False,False
2024-06-19 16:00:00,Ueno,Asakusa,11.0,8.4,1431,8.8,1.5,1.5,16,2,False,False
2024-06-11 02:00:00,Akihabara,Ebisu,22.5,8.66,1578,6.7,2.08,1.6,2,1,False,False
2024-06-26 22:00:00,Asakusa,Ikebukuro,16.2,9.31,1642,1.0,2.08,1.6,22,2,False,False
2024-06-07 21:00:00,Ikebukuro,Ikebukuro,10.3,3.48,958,7.7,1.6,1.6,21,4,False,False
2024-06-27 01:00:00,Harajuku,Marunouchi,12.2,2.87,558,2.5,1.3,1.0,1,3,False,False
2024-06-14 01:00:00,Ueno,Shibuya,8.2,4.69,684,4.1,1.3,1.0,1,4,False,False
2024-06-20 02:00:00,Meguro,Harajuku,5.0,1.73,466,3.0,1.3,1.0,2,3,False,False
2024-06-02 20:00:00,Meguro,Marunouchi,65.8,11.87,2640,0.2,9.36,2.08,20,6,True,True
2024-06-28 07:00:00,Ikebukuro,Marunouchi,42.6,5.15,985,1.6,3.25,1.3,7,4,True,False
2024-06-13 16:00:00,Roppongi,Odaiba,17.0,3.8,944,1.9,1.5,1.5,16,3,False,False
2024-06-20 03:00:00,Akasaka,Roppongi,10.3,16.06,1505,0.6,1.3,1.0,3,3,False,False
2024-06-03 05:00:00,Ueno,Akihabara,11.0,7.4,882,0.3,1.3,1.0,5,0,False,False
2024-06-11 18:00:00,Odaiba,Roppongi,52.4,6.19,1858,0.4,5.5,2.2,18,1,True,False
2024-06-15 02:00:00,Shinjuku,Akasaka,42.9,0.5,678,2.7,3.74,1.6,2,5,False,True
2024-06-25 00:00:00,Ebisu,Marunouchi,18.7,6.87,853,0.1,1.3,1.0,0,1,False,False
2024-06-09 03:00:00,Marunouchi,Marunouchi,22.8,4.82,710,0.1,2.34,1.0,3,6,False,True
2024-06-22 03:00:00,Shinjuku,Roppongi,32.0,10.3,1562,15.7,3.28,1.4,3,5,False,True
2024-06-21 00:00:00,Marunouchi,Marunouchi,12.6,5.01,712,0.3,1.3,1.0,0,4,False,False
2024-06-06 19:00:00,Shinjuku,Ginza,26.0,8.81,1001,2.3,2.5,1.0,19,3,True,False
2024-06-17 12:00:00,Odaiba,Akihabara,6.2,2.77,543,1.0,1.0,1.0,12,0,False,False
2024-06-12 08:00:00,Ikebukuro,Ueno,19.5,3.11,584,1.8,2.5,1.0,8,2,True,False
2024-06-04 14:00:00,Asakusa,Ueno,10.6,7.43,1325,3.1,1.5,1.5,14,1,False,False
2024-06-22 16:00:00,Shibuya,Odaiba,16.0,6.21,1204,1.7,2.7,1.5,16,5,False,True
2024-06-15 08:00:00,Marunouchi,Odaiba,97.7,8.83,2395,0.9,9.9,2.2,8,5,True,True
2024-06-02 04:00:00,Akihabara,Asakusa,8.2,10.23,1083,5.3,2.34,1.0,4,6,False,True
2024-06-17 08:00:00,Shinjuku,Asakusa,31.7,2.61,730,0.1,3.25,1.3,8,0,True,False
2024-06-11 22:00:00,Tokyo Station,Ueno,16.3,11.96,2530,9.4,2.7,2.08,22,1,False,False
2024-06-05 01:00:00,Asakusa,Roppongi,5.0,10.08,1068,0.9,1.3,1.0,1,2,False,False
2024-06-22 17:00:00,Odaiba,Shibuya,152.4,14.81,4534,6.0,12.87,2.86,17,5,True,True
2024-06-30 18:00:00,Roppongi,Asakusa,21.2,6.83,1109,3.7,5.85,1.3,18,6,True,True
2024-06-27 22:00:00,Shinjuku,Ebisu,11.2,8.39,1239,0.0,1.69,1.3,22,3,False,False
2024-06-04 19:00:00,Shinjuku,Roppongi,21.9,12.44,1636,0.2,3.25,1.3,19,1,True,False
2024-06-03 15:00:00,Ikebukuro,Ginza,19.2,5.75,1855,4.2,2.4,2.4,15,0,False,False
2024-06-04 18:00:00,Asakusa,Ikebukuro,26.7,10.85,1149,0.3,2.5,1.0,18,1,True,False
2024-06-17 13:00:00,Ebisu,Shibuya,16.1,3.14,755,1.2,1.3,1.3,13,0,False,False
2024-06-07 08:00:00,Marunouchi,Ikebukuro,14.5,6.79,1264,4.3,3.75,1.5,8,4,True,False
2024-06-05 14:00:00,Meguro,Akasaka,17.4,5.54,1571,1.1,2.08,2.08,14,2,False,False
2024-06-28 12:00:00,Roppongi,Ueno,5.0,8.35,943,0.2,1.0,1.0,12,4,False,False
2024-06-15 03:00:00,Ebisu,Ebisu,39.3,6.91,1145,1.6,3.04,1.3,3,5,False,True
